#,Reaction,ATP,NADH,Fdred,CO2,HCO3-,Acetyl-CoA,Pyruvate,N2,NH3,H2,CoA,Malate,Glyoxalate,D-Serine,L-Serine,Glycine,3-Hydroxypyruvate,Glycolaldehyde,Glycolate,EC Number,Reference,Notes
,,Input,Input,Input,Input/Output,Input/Output,Intermediate,Intermediate,Input,Intermediate,Input/Output,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Target,Intermediate,Intermediate,Intermediate,,,
1,6 HCO3- + 10 ATP + 12 NADH → 2 pyruvate,-10,-12,,,-6,,2,,,,,,,,,,,,,3-hydroxypropionate (3HP) Cycle,"Zarzycki et al. {Zarzycki2009a}, Herter et al. {Herter2002a}",
2,2 pyruvate → 2 acetyl-coA + 2 NADH + 2 CO2,,2,,2,,2,-2,,,,,,,,,,,,,,"Berg et al. {Berg2007a}, Schomburg et al. {Schomburg2017a}",
3,16 ATP + 8 Fdred + N2 → 2 NH3 + 1 H2,-16,,-8,,,,,-1,2,1,,,,,,,,,,1.18.6.1,KEGG,
4,Pyruvate + NH3 → D-Serine,,,,,,,-1,,-1,,,,,1,,,,,,4.3.1.18,KEGG,
5,D-Serine → L-Serine,,,,,,,,,,,,,,-1,1,,,,,5.1.1.18,KEGG,
6,Pyruvate + CO2 + NADH + H2 → Malate + NAD,,-1,,-1,,,-1,,,-1,,1,,,,,,,,1.1.1.38,KEGG,
7,Malate + CoA → Acetyl CoA + H2O + Glyoxalate,,,,,,1,,,,,-1,-1,1,,,,,,,2.3.3.1,KEGG,
8,L-Serine + Glyoxylate → 3-Hydroxypyruvate + Glycine,,,,,,,,,,,,,-1,,-1,1,1,,,2.6.1.45,KEGG,
9,3-Hydroxypyruvate → Glycolaldehyde + CO2,,,,1,,,,,,,,,,,,,-1,1,,4.1.1.40,KEGG,
10,Glycolaldehyde + NAD+ + H2O → Glycolate + NADH + H+,,1,,,,,,,,,,,,,,,,-1,1,1.2.1.21,KEGG,
11,Glycolate + NAD+ → Glyoxylate + NADH + H+,,1,,,,,,,,,,,1,,,,,,-1,1.1.1.26 ,KEGG,