#,Reaction,ATP,NADH,Fdred,CO2,HCO3-,Acetyl-CoA,Pyruvate,HCO2-,3-PG,N2,NH3, 2-Oxoglutarate,L-Glutamate,(R)-2-Methylmalate,2-Methylmaleate,D-erythro-3-Methylmalate,2-Oxobutanoate,(S)-2-Aceto-2-hydroxybutanoate,(R)-3-Hydroxy-3-methyl-2-oxopentanoate,"(R)-2,3-Dihydroxy-3-methylpentanoate",(S)-3-Methyl-2-oxopentanoic acid,L-Isoleucine,EC Number,Reference,Notes
,,Input,Input,Input,Input/Output,Input/Output,Intermediate,Intermediate,Input,Intermediate,Input,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Target,,,
2,6 HCO2- + 10 ATP + 4 NADH → 2 3-PG,-10,-4,,,,,,-6,2,,,,,,,,,,,,,,Formolase Pathway,"Siegel et al. {Siegel2015a}, Bar-Even et al. {Bar-Even2016a}",
3,2 3-PG → 2 pyruvate + 2 ATP ,2,,,,,,2,,-2,,,,,,,,,,,,,,,Berg et al. {Berg2007a},
,2 pyruvate → 2 acetyl-coA + 2 NADH + 2 CO2,,2,,2,,2,-2,,,,,,,,,,,,,,,,,"Berg et al. {Berg2007a}, Schomburg et al. {Schomburg2017a}",
1,16 ATP + 8 Fdred + N2 → 2 NH3 + 1 H2,-16,,-8,,,,,,,-1,2,,,,,,,,,,,,1.18.6.1,KEGG,Not sure how often N2ase produces an H2. 
4,1 Pyruvate + 1 Acetyl CoA + 1 ATP + 1 HCO3 → 2-Oxoglutarate + 1 CO2 + 1 NADH,-1,1,,1,-1,-1,-1,,,,,1,,,,,,,,,,,TCA Cycle,,
5,2-Oxoglutarate + 1 NH3 + 1 NADH → 1 L-glutamate + H2O,,-1,,,,,,,,,-1,-1,1,,,,,,,,,,1.4.1.2,,
6,Acetyl-CoA + Pyruvate + H2O <=> (R)-2-Methylmalate,,,,,,-1,-1,,,,,,,1,,,,,,,,,2.3.1.182,,
7,(R)-2-Methylmalate <=> 2-Methylmaleate + H2O,,,,,,,,,,,,,,-1,1,,,,,,,,4.2.1.35,,
8,2-Methylmaleate + H2O <=> D-erythro-3-Methylmalate,,,,,,,,,,,,,,,-1,1,,,,,,,4.2.1.35,,
9,D-erythro-3-Methylmalate -> 2-Oxobutanoate + CO2 + NADH ,,1,,1,,,,,,,,,,,,-1,1,,,,,,1.1.1.85,,
10,Pyruvate + 2-Oxobutanoate <=> (S)-2-Aceto-2-hydroxybutanoate + CO2,,,,1,,,-1,,,,,,,,,,-1,1,,,,,2.2.1.6,,
11,(S)-2-Aceto-2-hydroxybutanoate <=> (R)-3-Hydroxy-3-methyl-2-oxopentanoate,,,,,,,,,,,,,,,,,,-1,1,,,,1.1.1.86,,
12,"(R)-3-Hydroxy-3-methyl-2-oxopentanoate + NADH ->(R)-2,3-Dihydroxy-3-methylpentanoate",,-1,,,,,,,,,,,,,,,,,-1,1,,,1.1.1.86,,
13,"(R)-2,3-Dihydroxy-3-methylpentanoate <=> (S)-3-Methyl-2-oxopentanoic acid + H2O",,,,,,,,,,,,,,,,,,,,-1,1,,4.2.1.9,,
14,(S)-3-Methyl-2-oxopentanoic acid + L-Glutamate -> L-Isoleucine + 2-Oxoglutarate,,,,,,,,,,,,1,-1,,,,,,,,-1,1,2.6.1.42,,