#,Reactions,ATP,NADH,Fdred,CO2,HCO3-,Acetyl-CoA,Pyruvate,N2,NH3,H2,D-Glyceraldehyde 3-phosphate,Glycerone phosphate,beta-D-Fructose 6-phosphate,"beta-D-Fructose 1,6-bisphosphate",H20,Phosphoenolpyruvate,D-Erythrose 4-phosphate,2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate,3-Dehydroquinate,3-Dehydroshikimate,Shikimate,Shikimate 3-phosphate,5-O-(1-Carboxyvinyl)-3-phosphoshikimate,Chorismate,Prephenate,Phenylpyruvate,2-Oxoglutarate,L-glutamate,L-Phenyalanine,EC number,Reference,Comments
,,Input,Input,Input,Input/Ouput,Input/Output,Intermediate,Intermediate,Input,Intermediate,Input/Output,Intermediate,Intermediate,Intermediate,Intermediate,Input/Output,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Target,,,
1,1 CO2 + 1 HCO3- + 3 ATP + 1 NADH + 6 Fd → 1 acetyl-CoA,-3,-1,-6,-1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,Dicarboxylate/4-hydroxybutyrate (4HB) Cycle,Huber et al. {Huber2008a},
2,2 Fdred + Acetyl-CoA + CO2 → Pyruvate,,,-2,-1,,-1,1,,,,,,,,,,,,,,,,,,,,,,,1.2.7.1,KEGG R01196,
3,6CO2 + 18ATP + 12NADH → 2 D-Glyceraldehyde 3-phosphate,-18,-12,,-6,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
4,16 ATP + 8 Fdred + N2 → 2 NH3 +  H2,-16,,-8,,,,,-1,2,1,,,,,,,,,,,,,,,,,,,,1.18.6.1,KEGG,
5,2-Oxoglutarate + 1 NH3 + 1 NADH → 1 L-glutamate,,-1,,,,,,,-1,,,,,,,,,,,,,,,,,,-1,1,,1.4.1.2,KEGG,
6,D-Glyceraldehyde 3-phosphate <=> Glycerone phosphate,,,,,,,,,,,-1,1,,,,,,,,,,,,,,,,,,5.3.1.1,KEGG,
7,"Glycerone phosphate + D-Glyceraldehyde 3-phosphate <=> beta-D-Fructose 1,6-bisphosphate",,,,,,,,,,,-1,-1,,1,,,,,,,,,,,,,,,,4.1.2.13,KEGG,
8,"beta-D-Fructose 1,6-bisphosphate + H2O <=> beta-D-Fructose 6-phosphate + Orthophosphate",,,,,,,,,,,,,1,-1,-1,,,,,,,,,,,,,,,3.1.3.11,KEGG,
9,ATP + Pyruvate + H2O <=> AMP + Phosphoenolpyruvate + Orthophosphate,-1,,,,,,-1,,,,,,,,-1,1,,,,,,,,,,,,,,2.7.9.2,KEGG,
10,beta-D-Fructose 6-phosphate + D-Glyceraldehyde 3-phosphate <=> D-Erythrose 4-phosphate ,,,,,,,,,,,-1,,-1,,,,1,,,,,,,,,,,,,2.2.1.1,KEGG,
11,Phosphoenolpyruvate + D-Erythrose 4-phosphate + H2O <=> 2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate + Orthophosphate,,,,,,,,,,,,,,,-1,-1,-1,1,,,,,,,,,,,,2.5.1.54,KEGG,
12,2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate <=> 3-Dehydroquinate + Orthophosphate,,,,,,,,,,,,,,,,,,-1,1,,,,,,,,,,,4.2.3.4,KEGG,
13,3-Dehydroquinate <=> 3-Dehydroshikimate + H2O,,,,,,,,,,,,,,,1,,,,-1,1,,,,,,,,,,4.2.1.10,KEGG,
14,3-Dehydroshikimate + NADPH + H+ <=> Shikimate ,,-1,,,,,,,,,,,,,,,,,,-1,1,,,,,,,,,1.1.1.25,KEGG,
15,ATP + Shikimate <=> ADP + Shikimate 3-phosphate,-1,,,,,,,,,,,,,,,,,,,,-1,1,,,,,,,,2.7.1.71,KEGG,
16,Phosphoenolpyruvate + Shikimate 3-phosphate <=> Orthophosphate + 5-O-(1-Carboxyvinyl)-3-phosphoshikimate,,,,,,,,,,,,,,,,-1,,,,,,-1,1,,,,,,,2.5.1.19,KEGG,
17,5-O-(1-Carboxyvinyl)-3-phosphoshikimate <=> Chorismate + Orthophosphate,,,,,,,,,,,,,,,,,,,,,,,-1,1,,,,,,4.3.2.5,KEGG,
18,Chorismate <=> Prephenate,,,,,,,,,,,,,,,,,,,,,,,,-1,1,,,,,5.4.99.5,KEGG,
19,Prephenate <=> Phenylpyruvate + H2O + CO2,,,,1,,,,,,,,,,,1,,,,,,,,,,-1,1,,,,4.2.1.51,KEGG,
20,Phenylpyruvate + L-Glutamate <=> L-Phenylalanine + 2-Oxoglutarate,,,,,,,,,,,,,,,,,,,,,,,,,,-1,1,-1,1,2.6.1.57,KEGG,