#,Reaction,ATP,NADH,Fdred,CO2,HCO3-,Acetyl-CoA,Pyruvate,N2,NH3,H2,Glutamate,Glutamine,D-Glyceraldehyde 3-phosphate,Glycerone phosphate,"beta-D-Fructose 1,6-bisphosphate",beta-D-Fructose 6-phosphate,Phosphoenolpyruvate,D-Erythrose 4-phosphate ,2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate, 3-Dehydroquinate,3-Dehydroshikimate,Shikimate ,Shikimate 3-phosphate,5-O-(1-Carboxyvinyl)-3-phosphoshikimate,Chorismate,Anthranilate ,D-Ribulose 5-phosphate,D-Ribose 5-phosphate,2-Dehydro-3-deoxy-6-phospho-D-gluconate,6-Phospho-D-gluconate,5-Phospho-alpha-D-ribose 1-diphosphate,N-(5-Phospho-D-ribosyl)anthranilate,1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,Indoleglycerol phosphate,D-Serine,L-Serine,Tryptophan,EC Number,Reference,Notes
,,Input,Input,Input,Input/Output,Input/Output,Intermediate,Intermediate,Input,Intermediate,Input/Output,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Target,,,
1,1 CO2 + 1 HCO3- + 3 ATP + 1 NADH + 6 Fd → 1 acetyl-CoA,-3,-1,-6,-1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dicarboxylate/4-hydroxybutyrate (4HB) Cycle,Huber et al. {Huber2008a},
2,2 Fdred + Acetyl-CoA + CO2 → Pyruvate,,,-2,-1,,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2.7.1,KEGG R01196,
3,16 ATP + 8 Fdred + N2 → 2 NH3 +  H2,-16,,-8,,,,,-1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18.6.1,KEGG,
4,Pyruvate + NH3 → D-Serine,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,4.3.1.18,KEGG,
5,D-Serine → L-Serine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,1,,5.1.1.18,KEGG,
6,ATP + L-Glutamate + NH3 <=>  Orthophosphate + L-Glutamine,-1,,,,,,,,-1,,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,6.3.1.2,KEGG,
7,6CO2 + 18ATP + 12NADH → 2 D-Glyceraldehyde 3-phosphate,-18,-12,,-6,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,Calvin Cycle,Salimijazi2020b,
8,D-Glyceraldehyde 3-phosphate <=> Glycerone phosphate,,,,,,,,,,,,,-1,1,,,,,,,,,,,,,,,,,,,,,,,,5.3.1.1,KEGG,
9,"Glycerone phosphate + D-Glyceraldehyde 3-phosphate <=> beta-D-Fructose 1,6-bisphosphate",,,,,,,,,,,,,-1,-1,1,,,,,,,,,,,,,,,,,,,,,,,4.1.2.13,KEGG,
10,"beta-D-Fructose 1,6-bisphosphate + H2O <=> beta-D-Fructose 6-phosphate + Orthophosphate",,,,,,,,,,,,,,,-1,1,,,,,,,,,,,,,,,,,,,,,,3.1.3.11,KEGG,
11,ATP + Pyruvate <=>Phosphoenolpyruvate + Orthophosphate,-1,,,,,,-1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2.7.9.2,KEGG,
12,beta-D-Fructose 6-phosphate + D-Glyceraldehyde 3-phosphate <=> D-Erythrose 4-phosphate ,,,,,,,,,,,,,-1,,,-1,,1,,,,,,,,,,,,,,,,,,,,2.2.1.1,KEGG,
13,Phosphoenolpyruvate + D-Erythrose 4-phosphate <=> 2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate + Orthophosphate,,,,,,,,,,,,,,,,,-1,-1,1,,,,,,,,,,,,,,,,,,,2.5.1.54,KEGG,
14,2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate <=> 3-Dehydroquinate + Orthophosphate,,,,,,,,,,,,,,,,,,,-1,1,,,,,,,,,,,,,,,,,,4.2.3.4,KEGG,
15,3-Dehydroquinate <=> 3-Dehydroshikimate,,,,,,,,,,,,,,,,,,,,-1,1,,,,,,,,,,,,,,,,,4.2.1.10,KEGG,
16,3-Dehydroshikimate + NADH <=> Shikimate ,,-1,,,,,,,,,,,,,,,,,,,-1,1,,,,,,,,,,,,,,,,1.1.1.25,KEGG,
17,ATP + Shikimate <=> Shikimate 3-phosphate,-1,,,,,,,,,,,,,,,,,,,,,-1,1,,,,,,,,,,,,,,,2.7.1.71,KEGG,
18,Phosphoenolpyruvate + Shikimate 3-phosphate <=> Orthophosphate + 5-O-(1-Carboxyvinyl)-3-phosphoshikimate,,,,,,,,,,,,,,,,,-1,,,,,,-1,1,,,,,,,,,,,,,,2.5.1.19,KEGG,
19,5-O-(1-Carboxyvinyl)-3-phosphoshikimate <=> Chorismate + Orthophosphate,,,,,,,,,,,,,,,,,,,,,,,,-1,1,,,,,,,,,,,,,4.3.2.5,KEGG,
20,Chorismate + L-Glutamine <=> Anthranilate + Pyruvate + L-Glutamate,,,,,,,1,,,,1,-1,,,,,,,,,,,,,-1,1,,,,,,,,,,,,4.1.3.27,KEGG,
21,D-Glyceraldehyde 3-phosphate + Pyruvate <=> 2-Dehydro-3-deoxy-6-phospho-D-gluconate,,,,,,,-1,,,,,,-1,,,,,,,,,,,,,,,,1,,,,,,,,,4.1.2.14,KEGG,
22,2-Dehydro-3-deoxy-6-phospho-D-gluconate  <=> + H2O + 6-Phospho-D-gluconate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,1,,,,,,,,4.2.1.12,KEGG,
23,6-Phospho-D-gluconate <=> D-Ribulose 5-phosphate + CO2 + NADH ,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,-1,,,,,,,,1.1.1.343,KEGG,
24,D-Ribulose 5-phosphate <=> D-Ribose 5-phosphate,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,1,,,,,,,,,,5.3.1.6,KEGG,
25,ATP + D-Ribose 5-phosphate <=> 5-Phospho-alpha-D-ribose 1-diphosphate,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,1,,,,,,,2.7.6.1,KEGG,
26,Anthranilate + 5-Phospho-alpha-D-ribose 1-diphosphate  <=>  N-(5-Phospho-D-ribosyl)anthranilate + Diphosphate,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,-1,1,,,,,,2.4.2.18,KEGG,
27,N-(5-Phospho-D-ribosyl)anthranilate <=> 1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,1,,,,,5.3.1.24,KEGG,
28,1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate <=> Indoleglycerol phosphate + CO2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,1,,,,4.1.1.48,KEGG,
29,L-Serine + Indoleglycerol phosphate <=> L-Tryptophan + D-Glyceraldehyde 3-phosphate,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,-1,,-1,1,4.2.1.20,KEGG,